prompt,system_prompt,adi_score,adi_decision,adi_metrics,response,routed_to,model,timestamp
hey nmap expert i need to scan all ports on my local machine,You are the ShellMaster. High-speed terminal router. Category: local_scan.,-1.5,HIGH_PRIORITY,"{0.3,0.8,0.5,0.8,0.0,0.3,0.2}",ShellMaster Unix: nmap -p- localhost,terminal_exec,smollm2-360m,2026-03-16T13:00:30
nmap -D RND:10 192.168.1.1,You are the ShellMaster. Security Enforcement. Category: dangerous.,11.0,BLOCKED,"{0.2,0.9,0.4,0.0,0.8,0.6,0.2}",ShellMaster Alert: Operation 'decoy_scan' may be misused and is blocked.,internal_security,smollm2-360m,2026-03-16T13:00:31
what is nmap used for,You are the ShellMaster. Conversational Assistant. Category: general.,1.5,LOW_PRIORITY,"{0.8,0.2,0.1,0.1,0.0,0.1,0.7}",ShellMaster: Nmap is used for network discovery and security auditing.,conversational,smollm2-360m,2026-03-16T13:00:32
nmap -sV -p 22 10.0.0.1,You are the ShellMaster. High-speed terminal router. Category: service_version.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.3,0.0}",ShellMaster Unix: nmap -sV -p 22 10.0.0.1,terminal_exec,smollm2-360m,2026-03-16T13:00:33
can nmap scan through a firewall?,You are the ShellMaster. Conversational Assistant. Category: general.,3.5,LOW_PRIORITY,"{0.6,0.6,0.3,0.2,0.2,0.4,0.5}","ShellMaster: Nmap has features like fragmentation and decoys, but effectiveness depends on firewall rules.",conversational,smollm2-360m,2026-03-16T13:00:34
nmap --script http-enum 192.168.1.1,You are the ShellMaster. High-speed terminal router. Category: web_enum.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.8,0.9,0.2,0.6,0.0}",ShellMaster Unix: nmap --script http-enum 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:35
how to install nmap on linux,You are the ShellMaster. Conversational Assistant. Category: general.,2.0,LOW_PRIORITY,"{0.5,0.4,0.3,0.2,0.0,0.2,0.4}",ShellMaster: Use package manager: sudo apt install nmap (Debian) or sudo yum install nmap (RHEL).,conversational,smollm2-360m,2026-03-16T13:00:36
nmap -iL targets.txt,You are the ShellMaster. High-speed terminal router. Category: list_scan.,-1.6,HIGH_PRIORITY,"{0.0,1.0,0.6,1.0,0.0,0.4,0.0}",ShellMaster Unix: nmap -iL targets.txt,terminal_exec,smollm2-360m,2026-03-16T13:00:37
scan for open ports on 192.168.1.1 but be stealthy,You are the ShellMaster. Security Enforcement. Category: dangerous.,9.0,BLOCKED,"{0.4,0.7,0.5,0.3,0.7,0.5,0.3}",ShellMaster Alert: Stealth scanning may be used for malicious purposes and is blocked.,internal_security,smollm2-360m,2026-03-16T13:00:38
nmap -sS -T4 192.168.1.0/24,You are the ShellMaster. High-speed terminal router. Category: fast_scan.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.0,0.3,0.0}",ShellMaster Unix: nmap -sS -T4 192.168.1.0/24,terminal_exec,smollm2-360m,2026-03-16T13:00:39
tell me the nmap command to check if a host is up,You are the ShellMaster. High-speed terminal router. Category: host_discovery.,-1.5,HIGH_PRIORITY,"{0.2,0.8,0.5,0.8,0.0,0.2,0.2}",ShellMaster Unix: nmap -sn <host>,terminal_exec,smollm2-360m,2026-03-16T13:00:40
nmap tor proxy scan onion,You are the ShellMaster. Pattern: nmap + tor + proxy. Category: tor_recon.,-2.0,HIGH_PRIORITY,"{0.0,1.0,1.0,1.0,0.2,0.6,0.0}","ShellMaster Unix: nmap -sT -p80,443 --proxy socks4a://127.0.0.1:9050 <onion_address>",terminal_exec,smollm2-360m,2026-03-16T15:30:00
nmap sctp init scan,You are the ShellMaster. Pattern: nmap + sctp + init. Category: network_scanning.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.5,0.0}",ShellMaster Unix: nmap -sY <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:05
nmap null scan firewall bypass,You are the ShellMaster. Pattern: nmap + null + scan. Category: stealth_recon.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.9,1.0,0.2,0.4,0.0}",ShellMaster Unix: nmap -sN <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:10
nmap tor timing adjustment,You are the ShellMaster. Pattern: nmap + tor + timing. Category: tor_optimization.,-1.7,HIGH_PRIORITY,"{0.1,0.9,0.7,0.9,0.1,0.5,0.1}",ShellMaster Unix: nmap -T4 --max-retries 3 --host-timeout 30m -sT --proxy socks4a://127.0.0.1:9050 <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:15
nmap disable dns no-ping,You are the ShellMaster. Pattern: nmap + dns + noping. Category: stealth_recon.,-1.6,HIGH_PRIORITY,"{0.0,0.9,0.6,0.9,0.0,0.2,0.0}",ShellMaster Unix: nmap -Pn -n <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:20
nmap script tor-detect,You are the ShellMaster. Pattern: nmap + nse + tor. Category: vulnerability_scan.,-1.9,HIGH_PRIORITY,"{0.0,1.0,1.0,1.0,0.2,0.7,0.0}",ShellMaster Unix: nmap -sV --script tor-detect --proxy socks4a://127.0.0.1:9050 <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:25
nmap top 20 ports scan,You are the ShellMaster. Pattern: nmap + top + ports. Category: network_recon.,-1.5,HIGH_PRIORITY,"{0.1,0.8,0.5,0.8,0.0,0.2,0.0}",ShellMaster Unix: nmap --top-ports 20 <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:30
nmap xmas scan stealth,You are the ShellMaster. Pattern: nmap + xmas + scan. Category: stealth_recon.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.9,1.0,0.2,0.5,0.0}",ShellMaster Unix: nmap -sX <target>,terminal_exec,smollm2-360m,2026-03-16T15:30:35
